Product_Name,Product_ID,Year,Month,Day,Quantity_Demanded,Cost,Labour_wages,Energy_cost,Production_unit,Raw_materials,Destination,Distance_from_Pos
A,112054C,2018,1,1,813,515,,,,,AHMEDABAD,11
A,112054C,2018,1,1,876,515,,,,,VADODARA,121
A,112054C,2018,1,1,834,515,,,,,GANDHINAGAR,34
A,112054C,2018,1,1,818,515,,,,,SURAT,278
B,435207F,2018,1,1,845,1605,,,,,AHMEDABAD,17
B,435207F,2018,1,1,823,1605,,,,,VADODARA,140
B,435207F,2018,1,1,867,1605,,,,,GANDHINAGAR,45
B,435207F,2018,1,1,812,1605,,,,,SURAT,243
A,112054C,2018,1,2,789,515,,,,,AHMEDABAD,12
A,112054C,2018,1,2,796,515,,,,,VADODARA,135
A,112054C,2018,1,2,803,515,,,,,GANDHINAGAR,35
A,112054C,2018,1,2,822,515,,,,,SURAT,260
B,435207F,2018,1,2,750,1605,,,,,AHMEDABAD,17
B,435207F,2018,1,2,854,1605,,,,,VADODARA,117
B,435207F,2018,1,2,784,1605,,,,,GANDHINAGAR,28
B,435207F,2018,1,2,809,1605,,,,,SURAT,268
A,112054C,2018,1,3,817,515,,,,,AHMEDABAD,14
A,112054C,2018,1,3,774,515,,,,,VADODARA,123
A,112054C,2018,1,3,800,515,,,,,GANDHINAGAR,47
A,112054C,2018,1,3,828,515,,,,,SURAT,245
B,435207F,2018,1,3,650,1605,,,,,AHMEDABAD,12
B,435207F,2018,1,3,749,1605,,,,,VADODARA,141
B,435207F,2018,1,3,825,1605,,,,,GANDHINAGAR,37
B,435207F,2018,1,3,698,1605,,,,,SURAT,275
A,112054C,2018,1,4,673,515,,,,,AHMEDABAD,16
A,112054C,2018,1,4,748,515,,,,,VADODARA,138
A,112054C,2018,1,4,629,515,,,,,GANDHINAGAR,39
A,112054C,2018,1,4,793,515,,,,,SURAT,257
B,435207F,2018,1,4,854,1605,,,,,AHMEDABAD,21
B,435207F,2018,1,4,749,1605,,,,,VADODARA,136
B,435207F,2018,1,4,694,1605,,,,,GANDHINAGAR,42
B,435207F,2018,1,4,793,1605,,,,,SURAT,268
A,112054C,2018,1,5,845,515,,,,,AHMEDABAD,26
A,112054C,2018,1,5,816,515,,,,,VADODARA,132
A,112054C,2018,1,5,794,515,,,,,GANDHINAGAR,33
A,112054C,2018,1,5,900,515,,,,,SURAT,279
B,435207F,2018,1,5,714,1605,,,,,AHMEDABAD,15
B,435207F,2018,1,5,837,1605,,,,,VADODARA,129
B,435207F,2018,1,5,856,1605,,,,,GANDHINAGAR,43
B,435207F,2018,1,5,846,1605,,,,,SURAT,278
A,112054C,2018,1,6,927,515,,,,,AHMEDABAD,20
A,112054C,2018,1,6,716,515,,,,,VADODARA,145
A,112054C,2018,1,6,794,515,,,,,GANDHINAGAR,28
A,112054C,2018,1,6,839,515,,,,,SURAT,282
B,435207F,2018,1,6,928,1605,,,,,AHMEDABAD,22
B,435207F,2018,1,6,836,1605,,,,,VADODARA,134
B,435207F,2018,1,6,925,1605,,,,,GANDHINAGAR,36
B,435207F,2018,1,6,817,1605,,,,,SURAT,215
A,112054C,2018,1,7,734,515,,,,,AHMEDABAD,15
A,112054C,2018,1,7,902,515,,,,,VADODARA,82
A,112054C,2018,1,7,846,515,,,,,GANDHINAGAR,38
A,112054C,2018,1,7,953,515,,,,,SURAT,210
B,435207F,2018,1,7,834,1605,,,,,AHMEDABAD,15
