Product_Name,Product_ID,Year,Month,Day,Quantity_Demanded,Total_Cost,Labour_wages,Energy_cost,R_N_D,Transport,Taxes,Production,Raw_materials,Profit,Destination,Distance_from_Pos
A,BQ4561,2017,1,1,662,4368538,436853.8,436853.8,218426.9,131056.14,87370.76,873707.6,1310561.4,873707.6,AHMEDABAD,10
A,BQ4561,2017,1,1,897,5919303,591930.3,591930.3,295965.15,177579.09,118386.06,1183860.6,1775790.9,1183860.6,VADODARA,130
A,BQ4561,2017,1,1,328,2164472,216447.2,216447.2,108223.6,64934.16,43289.44,432894.4,649341.6,432894.4,GANDHINAGAR,76
A,BQ4561,2017,1,1,1143,7542657,754265.7,754265.7,377132.85,226279.71,150853.14,1508531.4,2262797.1,1508531.4,SURAT,268
B,CW1564,2017,1,1,8434,4208566,420856.6,420856.6,210428.3,126256.98,84171.32,841713.2,1262569.8,841713.2,AHMEDABAD,20
B,CW1564,2017,1,1,9111,4546389,454638.9,454638.9,227319.45,136391.67,90927.78,909277.8,1363916.7,909277.8,VADODARA,137
B,CW1564,2017,1,1,7247,3616253,361625.3,361625.3,180812.65,108487.59,72325.06,723250.6,1084875.9,723250.6,GANDHINAGAR,72
B,CW1564,2017,1,1,8387,4185113,418511.3,418511.3,209255.65,125553.39,83702.26,837022.6,1255533.9,837022.6,SURAT,294
C,DW5697,2017,1,1,1421,795760,79576,79576,39788,23872.8,15915.2,159152,238728,159152,AHMEDABAD,29
C,DW5697,2017,1,1,668,374080,37408,37408,18704,11222.4,7481.6,74816,112224,74816,VADODARA,145
C,DW5697,2017,1,1,1436,804160,80416,80416,40208,24124.8,16083.2,160832,241248,160832,GANDHINAGAR,73
C,DW5697,2017,1,1,1027,575120,57512,57512,28756,17253.6,11502.4,115024,172536,115024,SURAT,286
D,AY2843,2017,1,1,946,756800,75680,75680,37840,22704,15136,151360,227040,151360,AHMEDABAD,18
D,AY2843,2017,1,1,666,532800,53280,53280,26640,15984,10656,106560,159840,106560,VADODARA,130
D,AY2843,2017,1,1,804,643200,64320,64320,32160,19296,12864,128640,192960,128640,GANDHINAGAR,70
D,AY2843,2017,1,1,905,724000,72400,72400,36200,21720,14480,144800,217200,144800,SURAT,285
A,BQ4561,2017,2,1,791,5219809,521980.9,521980.9,260990.45,156594.27,104396.18,1043961.8,1565942.7,1043961.8,AHMEDABAD,18
A,BQ4561,2017,2,1,857,5655343,565534.3,565534.3,282767.15,169660.29,113106.86,1131068.6,1696602.9,1131068.6,VADODARA,141
A,BQ4561,2017,2,1,368,2428432,242843.2,242843.2,121421.6,72852.96,48568.64,485686.4,728529.6,485686.4,GANDHINAGAR,74
A,BQ4561,2017,2,1,1073,7080727,708072.7,708072.7,354036.35,212421.81,141614.54,1416145.4,2124218.1,1416145.4,SURAT,265
B,CW1564,2017,2,1,8142,4062858,406285.8,406285.8,203142.9,121885.74,81257.16,812571.6,1218857.4,812571.6,AHMEDABAD,24
B,CW1564,2017,2,1,9840,4910160,491016,491016,245508,147304.8,98203.2,982032,1473048,982032,VADODARA,120
B,CW1564,2017,2,1,7922,3953078,395307.8,395307.8,197653.9,118592.34,79061.56,790615.6,1185923.4,790615.6,GANDHINAGAR,57
B,CW1564,2017,2,1,9962,4971038,497103.8,497103.8,248551.9,149131.14,99420.76,994207.6,1491311.4,994207.6,SURAT,293
C,DW5697,2017,2,1,1459,817040,81704,81704,40852,24511.2,16340.8,163408,245112,163408,AHMEDABAD,18
C,DW5697,2017,2,1,1478,827680,82768,82768,41384,24830.4,16553.6,165536,248304,165536,VADODARA,134
C,DW5697,2017,2,1,620,347200,34720,34720,17360,10416,6944,69440,104160,69440,GANDHINAGAR,62
C,DW5697,2017,2,1,836,468160,46816,46816,23408,14044.8,9363.2,93632,140448,93632,SURAT,297
D,AY2843,2017,2,1,1038,830400,83040,83040,41520,24912,16608,166080,249120,166080,AHMEDABAD,21
D,AY2843,2017,2,1,933,746400,74640,74640,37320,22392,14928,149280,223920,149280,VADODARA,147
D,AY2843,2017,2,1,998,798400,79840,79840,39920,23952,15968,159680,239520,159680,GANDHINAGAR,66
D,AY2843,2017,2,1,664,531200,53120,53120,26560,15936,10624,106240,159360,106240,SURAT,297
A,BQ4561,2017,3,1,683,4507117,450711.7,450711.7,225355.85,135213.51,90142.34,901423.4,1352135.1,901423.4,AHMEDABAD,14
A,BQ4561,2017,3,1,761,5021839,502183.9,502183.9,251091.95,150655.17,100436.78,1004367.8,1506551.7,1004367.8,VADODARA,129
A,BQ4561,2017,3,1,485,3200515,320051.5,320051.5,160025.75,96015.45,64010.3,640103,960154.5,640103,GANDHINAGAR,69
A,BQ4561,2017,3,1,1099,7252301,725230.1,725230.1,362615.05,217569.03,145046.02,1450460.2,2175690.3,1450460.2,SURAT,257
B,CW1564,2017,3,1,8661,4321839,432183.9,432183.9,216091.95,129655.17,86436.78,864367.8,1296551.7,864367.8,AHMEDABAD,15
B,CW1564,2017,3,1,9151,4566349,456634.9,456634.9,228317.45,136990.47,91326.98,913269.8,1369904.7,913269.8,VADODARA,150
B,CW1564,2017,3,1,8217,4100283,410028.3,410028.3,205014.15,123008.49,82005.66,820056.6,1230084.9,820056.6,GANDHINAGAR,73
B,CW1564,2017,3,1,9316,4648684,464868.4,464868.4,232434.2,139460.52,92973.68,929736.8,1394605.2,929736.8,SURAT,275
C,DW5697,2017,3,1,950,532000,53200,53200,26600,15960,10640,106400,159600,106400,AHMEDABAD,28
C,DW5697,2017,3,1,1444,808640,80864,80864,40432,24259.2,16172.8,161728,242592,161728,VADODARA,127
C,DW5697,2017,3,1,731,409360,40936,40936,20468,12280.8,8187.2,81872,122808,81872,GANDHINAGAR,64
C,DW5697,2017,3,1,1352,757120,75712,75712,37856,22713.6,15142.4,151424,227136,151424,SURAT,277
D,AY2843,2017,3,1,1157,925600,92560,92560,46280,27768,18512,185120,277680,185120,AHMEDABAD,20
D,AY2843,2017,3,1,842,673600,67360,67360,33680,20208,13472,134720,202080,134720,VADODARA,120
D,AY2843,2017,3,1,887,709600,70960,70960,35480,21288,14192,141920,212880,141920,GANDHINAGAR,73
D,AY2843,2017,3,1,621,496800,49680,49680,24840,14904,9936,99360,149040,99360,SURAT,285
A,BQ4561,2017,4,1,513,3385287,507793.05,507793.05,338528.7,507793.05,236970.09,846321.75,1184850.45,67705.74,AHMEDABAD,15
A,BQ4561,2017,4,1,807,5325393,798808.95,798808.95,532539.3,798808.95,372777.51,1331348.25,1863887.55,106507.86,VADODARA,142
A,BQ4561,2017,4,1,353,2329447,349417.05,349417.05,232944.7,349417.05,163061.29,582361.75,815306.45,46588.94,GANDHINAGAR,71
A,BQ4561,2017,4,1,1196,7892404,1183860.6,1183860.6,789240.4,1183860.6,552468.28,1973101,2762341.4,157848.08,SURAT,251
B,CW1564,2017,4,1,9565,4772935,715940.25,715940.25,477293.5,715940.25,334105.45,1193233.75,1670527.25,95458.7,AHMEDABAD,17
B,CW1564,2017,4,1,7952,3968048,595207.2,595207.2,396804.8,595207.2,277763.36,992012,1388816.8,79360.96,VADODARA,123
B,CW1564,2017,4,1,8537,4259963,425996.3,425996.3,212998.15,127798.89,85199.26,851992.6,1277988.9,851992.6,GANDHINAGAR,67
B,CW1564,2017,4,1,7101,3543399,354339.9,354339.9,177169.95,106301.97,70867.98,708679.8,1063019.7,708679.8,SURAT,276
C,DW5697,2017,4,1,568,318080,31808,31808,15904,9542.4,6361.6,63616,95424,63616,AHMEDABAD,13
C,DW5697,2017,4,1,596,333760,33376,33376,16688,10012.8,6675.2,66752,100128,66752,VADODARA,123
C,DW5697,2017,4,1,1086,608160,60816,60816,30408,18244.8,12163.2,121632,182448,121632,GANDHINAGAR,53
C,DW5697,2017,4,1,826,462560,46256,46256,23128,13876.8,9251.2,92512,138768,92512,SURAT,282
D,AY2843,2017,4,1,853,682400,68240,68240,34120,20472,13648,136480,204720,136480,AHMEDABAD,16
D,AY2843,2017,4,1,856,684800,68480,68480,34240,20544,13696,136960,205440,136960,VADODARA,137
D,AY2843,2017,4,1,1168,934400,93440,93440,46720,28032,18688,186880,280320,186880,GANDHINAGAR,71
D,AY2843,2017,4,1,1088,870400,87040,87040,43520,26112,17408,174080,261120,174080,SURAT,287
A,BQ4561,2017,5,1,785,5180215,777032.25,777032.25,518021.5,414417.2,362615.05,1295053.75,1813075.25,103604.3,AHMEDABAD,23
A,BQ4561,2017,5,1,748,4936052,740407.8,740407.8,493605.2,394884.16,345523.64,1234013,1727618.2,98721.04,VADODARA,146
A,BQ4561,2017,5,1,475,3134525,470178.75,470178.75,313452.5,250762,219416.75,783631.25,1097083.75,62690.5,GANDHINAGAR,80
A,BQ4561,2017,5,1,1110,7324890,1098733.5,1098733.5,732489,585991.2,512742.3,1831222.5,2563711.5,146497.8,SURAT,254
B,CW1564,2017,5,1,9306,4643694,696554.1,696554.1,464369.4,371495.52,325058.58,1160923.5,1625292.9,92873.88,AHMEDABAD,19
B,CW1564,2017,5,1,8627,4304873,645730.95,645730.95,430487.3,344389.84,301341.11,1076218.25,1506705.55,86097.46,VADODARA,148
B,CW1564,2017,5,1,7070,3527930,529189.5,529189.5,352793,282234.4,246955.1,881982.5,1234775.5,70558.6,GANDHINAGAR,77
B,CW1564,2017,5,1,8004,3993996,599099.4,599099.4,399399.6,319519.68,279579.72,998499,1397898.6,79879.92,SURAT,272
C,DW5697,2017,5,1,732,409920,61488,61488,40992,32793.6,28694.4,102480,143472,8198.4,AHMEDABAD,13
C,DW5697,2017,5,1,1225,686000,68600,68600,34300,20580,13720,137200,205800,137200,VADODARA,134
C,DW5697,2017,5,1,826,462560,46256,46256,23128,13876.8,9251.2,92512,138768,92512,GANDHINAGAR,70
C,DW5697,2017,5,1,533,298480,29848,29848,14924,8954.4,5969.6,59696,89544,59696,SURAT,260
D,AY2843,2017,5,1,1149,919200,91920,91920,45960,27576,18384,183840,275760,183840,AHMEDABAD,14
D,AY2843,2017,5,1,1181,944800,94480,94480,47240,28344,18896,188960,283440,188960,VADODARA,140
D,AY2843,2017,5,1,680,544000,54400,54400,27200,16320,10880,108800,163200,108800,GANDHINAGAR,61
D,AY2843,2017,5,1,852,681600,68160,68160,34080,20448,13632,136320,204480,136320,SURAT,292
A,BQ4561,2017,6,1,516,3405084,340508.4,340508.4,170254.2,102152.52,68101.68,681016.8,1021525.2,681016.8,AHMEDABAD,13
A,BQ4561,2017,6,1,608,4012192,401219.2,401219.2,200609.6,120365.76,80243.84,802438.4,1203657.6,802438.4,VADODARA,147
A,BQ4561,2017,6,1,403,2659397,265939.7,265939.7,132969.85,79781.91,53187.94,531879.4,797819.1,531879.4,GANDHINAGAR,62
A,BQ4561,2017,6,1,1024,6757376,675737.6,675737.6,337868.8,202721.28,135147.52,1351475.2,2027212.8,1351475.2,SURAT,280
B,CW1564,2017,6,1,9852,4916148,491614.8,491614.8,245807.4,147484.44,98322.96,983229.6,1474844.4,983229.6,AHMEDABAD,13
B,CW1564,2017,6,1,8391,4187109,418710.9,418710.9,209355.45,125613.27,83742.18,837421.8,1256132.7,837421.8,VADODARA,129
